customer_message,category,priority,suggested_response,agent_response
I love your service!,Feedback,Low,Thank you for your feedback!,"Hello,

    Thank you for contacting support regarding your issue:
    ""I love your service!""

    Our team has categorized this ticket as: Feedback
    Priority level: Low

    Suggested solution:
    Thank you for your feedback!

    Best regards,
    Support Team"
Thanks for the support!,Support,Medium,We are looking into your issue. Support will contact you soon.,"Hello,

    Thank you for contacting support regarding your issue:
    ""Thanks for the support!""

    Our team has categorized this ticket as: Support
    Priority level: Medium

    Suggested solution:
    We are looking into your issue. Support will contact you soon.

    Best regards,
    Support Team"
I love your service!,Feedback,Low,Thanks! Your suggestions help us improve.,"Hello,

    Thank you for contacting support regarding your issue:
    ""I love your service!""

    Our team has categorized this ticket as: Feedback
    Priority level: Low

    Suggested solution:
    Thanks! Your suggestions help us improve.

    Best regards,
    Support Team"
The app is very slow today.,Support,Medium,"Your request has been received, and we're on it.","Hello,

    Thank you for contacting support regarding your issue:
    ""The app is very slow today.""

    Our team has categorized this ticket as: Support
    Priority level: Medium

    Suggested solution:
    Your request has been received, and we're on it.

    Best regards,
    Support Team"
I can't log into my account.,Technical,High,Ensure your app is updated to the latest version.,"Hello,

    Thank you for contacting support regarding your issue:
    ""I can't log into my account.""

    Our team has categorized this ticket as: Technical
    Priority level: High

    Suggested solution:
    Ensure your app is updated to the latest version.

    Best regards,
    Support Team"
I can't log into my account.,Technical,High,Please reset your password using the reset link.,"Hello,

    Thank you for contacting support regarding your issue:
    ""I can't log into my account.""

    Our team has categorized this ticket as: Technical
    Priority level: High

    Suggested solution:
    Please reset your password using the reset link.

    Best regards,
    Support Team"
I want to cancel my subscription.,Billing,High,"Your subscription charge has been adjusted, check your account.","Hello,

    Thank you for contacting support regarding your issue:
    ""I want to cancel my subscription.""

    Our team has categorized this ticket as: Billing
    Priority level: High

    Suggested solution:
    Your subscription charge has been adjusted, check your account.

    Best regards,
    Support Team"
I want to cancel my subscription.,Billing,High,Please verify your payment details or contact support.,"Hello,

    Thank you for contacting support regarding your issue:
    ""I want to cancel my subscription.""

    Our team has categorized this ticket as: Billing
    Priority level: High

    Suggested solution:
    Please verify your payment details or contact support.

    Best regards,
    Support Team"
I can't log into my account.,Technical,High,Ensure your app is updated to the latest version.,"Hello,

    Thank you for contacting support regarding your issue:
    ""I can't log into my account.""

    Our team has categorized this ticket as: Technical
    Priority level: High

    Suggested solution:
    Ensure your app is updated to the latest version.

    Best regards,
    Support Team"
I can't log into my account.,Technical,High,"Try logging out and back in, this often resolves the issue.","Hello,

    Thank you for contacting support regarding your issue:
    ""I can't log into my account.""

    Our team has categorized this ticket as: Technical
    Priority level: High

    Suggested solution:
    Try logging out and back in, this often resolves the issue.

    Best regards,
    Support Team"
